Name,Type,Subtype,Language,en Translation,Category,Subcategory,Pricing Category,Length,Under offer,Offer date,Sold price,Sold date,domainname.tld,createprice,renewprice,transferprice,Registrar,Status,Allocated?
gardens,Premium,Make offer,en,,Home,Garden,1,7,,,,,gardens.eco,,50,50,,,
gas,Premium,Make offer,en,,Products,Energy,1,3,,,,,gas.eco,,50,50,,,
gasoline,Premium,Make offer,en,,Products,Resources,1,8,,,,,gasoline.eco,,50,50,,,
geo,Premium,Make offer,en,,Geo,General,1,3,,,,,geo.eco,,50,50,,,
gifts,Premium,Make offer,en,,Shopping,General,1,5,,,,,gifts.eco,,50,50,,,
give,Premium,"Make offer,Future grant",en,,Generic,Verbs,1,4,,,,,give.eco,,50,50,,,
glass,Premium,Make offer,en,,Industry,Materials,1,5,,,,,glass.eco,,50,50,,,
global,Premium,Make offer,en,,Geo,General,1,6,,,,,global.eco,,50,50,,,
globalaction,Premium,"Make offer,Future grant",en,,Science,Eco,1,12,,,,,globalaction.eco,,50,50,,,
globalisation,Premium,Make offer,en,,NonProfit,General,1,13,,,,,globalisation.eco,,50,50,,,
globaltrade,Premium,Make offer,en,,Business,General,1,11,,,,,globaltrade.eco,,50,50,,,
globalwarming,Premium,"Make offer,Future grant",en,,Science,Terminology,1,13,,,,,globalwarming.eco,,50,50,,,
gmo,Premium,Make offer,en,,Combinations,Acronym,1,3,,,,,gmo.eco,,50,50,,,
gold,Premium,"Make offer,Future grant",en,,Industry,Commodity,1,4,,,,,gold.eco,,50,50,,,
golf,"Premium,Registry","Make offer,Grant",en,,Shopping,Sports,1,4,,,,,golf.eco,,50,50,,,checked
government,Premium,"Make offer,Future grant",en,,Society,General,1,10,,,,,government.eco,,50,50,,,
grasslands,Premium,"Make offer,Future grant",en,,Geo,Region,1,10,,,,,grasslands.eco,,50,50,,,
gratis,Premium,Make offer,de,Free,Shopping,General,1,6,,,,,gratis.eco,,50,50,,,
green,Premium,"Make offer,Future grant",en,,Living,Green,1,5,,,,,green.eco,,50,50,,,
greencity,Premium,"Make offer,Future grant",en,,Geo,Green,1,9,,,,,greencity.eco,,50,50,,,
greentechnology,Premium,"Make offer,Future grant",en,,Technology,Green,1,15,,,,,greentechnology.eco,,50,50,,,
greenway,Premium,"Make offer,Future grant",en,,Science,Green,1,8,,,,,greenway.eco,,50,50,,,
grid,Premium,Make offer,en,,Business,Energy,1,4,,,,,grid.eco,,50,50,,,
grocery,Premium,Make offer,en,,Grocery,General,1,7,,,,,grocery.eco,,50,50,,,
grow,Premium,Make offer,en,,Generic,General,1,4,,,,,grow.eco,,50,50,,,
guides,Premium,Make offer,en,,Generic,General,1,6,,,,,guides.eco,,50,50,,,
gulfcoast,Premium,Make offer,en,,Geo,Region,1,9,,,,,gulfcoast.eco,,50,50,,,
